Price,Prop_type,Size,Bath,Bed,Term,City,Division
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
650,Store,120,1,,/ Monthly,Braga, São Victor  
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
650,Store,120,1,,/ Monthly,Braga, São Victor  
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
650,Store,120,1,,/ Monthly,Braga, São Victor  
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
650,Store,120,1,,/ Monthly,Braga, São Victor  
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
650,Store,120,1,,/ Monthly,Braga, São Victor  
500,Condo/Apartment,25,1,0.0,/ Monthly,Braga, (Maximinos
250,Business Office,42,1,0.0,/ Monthly,Braga, (Maximinos
600,Farm,0,0,,/ Monthly,Póvoa de Lanhoso, Rendufinho  
650,Condo/Apartment,63,1,1.0,/ Monthly,Guimarães, Oliveira
300,Store,112,2,,/ Monthly,Fafe, Estorãos  
830,Condo/Apartment,117,4,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
400,Store,60,1,,/ Monthly,Póvoa de Lanhoso, Póvoa de Lanhoso (Nossa Senhora do Amparo)  
825,Condo/Apartment,94,2,2.0,/ Monthly,Braga, São Victor  
350,House,100,1,2.0,/ Monthly,Póvoa de Lanhoso, Fonte Arcada e Oliveira  
950,Condo/Apartment,103,2,3.0,/ Monthly,Braga, Real
750,Condo/Apartment,110,0,3.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
1250,House,190,4,4.0,/ Monthly,Barcelos, Gamil e Midões  
650,Condo/Apartment,105,4,2.0,/ Monthly,Amares, Ferreiros
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
200,Business Office,55,1,,/ Monthly,Celorico de Basto, Britelo
350,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
300,Business Office,75,1,,/ Monthly,Celorico de Basto, Britelo
600,Store,119,0,,/ Monthly,Braga, São Victor  
750,Condo/Apartment,79,0,2.0,/ Monthly,Vila Verde, Vila Verde e Barbudo  
